ip:port,fav,times
163.53.233.12:10775,1,24
163.53.233.12:10649,1,58
88.198.8.206:10594,0,11
88.198.8.206:10592,0,1
162.221.187.210:10617,0,0
108.61.208.163:59301,0,1
45.55.18.89:50301,0,1
31.186.83.196:50306,0,0
88.198.8.206:10772,0,0
81.2.239.208:50301,0,0
162.221.187.210:10777,0,0
88.198.8.206:10776,0,0
172.245.57.207:50301,0,0
81.2.237.42:13888,0,0
88.198.8.206:10600,0,0
146.0.32.133:13144,0,0
98.142.97.202:50353,0,0
84.200.208.125:50301,0,0
162.221.187.210:10557,0,0
88.198.8.206:10593,0,0
5.189.189.42:27420,0,0
162.221.187.210:10618,0,0
31.220.108.118:50311,0,0
88.198.8.206:10762,0,0
192.207.61.145:55555,0,0
192.223.28.54:50301,0,0
202.216.19.166:50301,0,0
81.2.237.42:50308,0,0
162.221.187.210:10616,0,0
88.198.8.206:9002,0,0
98.142.97.202:50352,0,0
88.198.8.206:10683,0,0
162.221.187.210:10550,0,0
46.251.241.134:50301,0,0
88.198.8.206:10634,0,0
88.198.8.206:9031,0,0
162.221.187.210:9012,0,0
162.221.187.210:9054,0,0
98.142.97.202:50355,0,0
88.198.8.206:10711,0,0
64.74.97.112:50009,0,0
98.142.97.202:50350,0,0
162.221.187.210:9049,0,0
85.241.82.111:50301,0,0
162.221.187.210:10780,0,0
5.189.189.42:27410,0,0
162.221.187.210:10761,0,0
81.2.239.208:50303,0,0
104.238.167.134:50305,0,0
172.245.57.207:50303,0,0
162.221.187.210:50000,0,0
163.53.233.12:10781,0,0
98.142.97.202:50351,0,0
5.189.189.42:27400,0,0
88.198.8.206:10595,0,0
212.83.178.82:50303,0,0
88.198.8.206:9003,0,0
88.198.8.206:50001,0,0
108.61.192.227:50301,0,0
109.172.10.205:50308,0,0
163.53.233.12:10650,0,0
162.221.187.210:9028,0,0
162.221.187.210:10736,0,0
88.198.8.206:10559,0,0
162.221.187.210:9000,0,0
163.53.233.12:10763,0,0
98.142.97.202:50354,0,0
212.83.178.82:50301,0,0
162.221.187.210:9001,0,0
162.221.187.210:10779,0,0
163.53.233.12:10651,0,0
88.198.8.206:10596,0,0
212.83.178.82:50304,0,0
108.61.170.16:50318,0,0
108.61.170.16:50301,0,0
162.221.187.210:10612,0,0
162.221.187.210:10611,0,0
212.83.178.82:50302,0,0
64.74.97.112:12345,0,0
162.221.187.210:10615,0,0
81.2.239.208:50302,0,0
162.221.187.210:10609,0,0
84.200.208.125:50304,0,0
162.221.187.210:10610,0,0
